Ê±¼ä,Ch0,Ch1,Ch2,Ch3
D:H:M:S,,,,
12:19:47:40,-0.143508,0.000000,-0.000667,0.000000
12:19:47:40,-0.123484,0.006675,0.002670,0.632555
12:19:47:40,-0.130159,-0.003337,-0.000667,-0.126710
12:19:47:40,-0.126821,0.003337,-0.000667,0.000000
12:19:47:40,-0.123484,-0.003337,-0.002002,-0.253431
12:19:47:40,-0.106797,0.006675,0.001335,0.379642
12:19:47:40,-0.110134,-0.003337,-0.001335,-0.126710
12:19:47:40,-0.096785,0.006675,0.002002,0.506117
12:19:47:40,-0.103459,-0.006675,-0.002002,-0.253431
12:19:47:40,-0.093447,0.013350,0.004005,0.885325
12:19:47:40,-0.090110,0.006675,0.001335,0.506117
12:19:47:40,-0.086772,0.003337,0.002002,0.506117
12:19:47:40,-0.093447,-0.006675,-0.002002,-0.380163
12:19:47:40,-0.103459,-0.013350,-0.006675,-1.140823
12:19:47:40,-0.086772,-0.006675,-0.005340,-0.887215
12:19:47:40,-0.083435,0.000000,-0.002002,-0.506907
12:19:47:40,-0.080098,0.000000,-0.002002,-0.253431
12:19:47:40,-0.070085,0.010012,0.004672,1.137950
12:19:47:40,-0.073423,-0.003337,0.000000,0.126583
12:19:47:40,-0.076760,0.000000,0.000667,0.126583
12:19:47:40,-0.070085,0.003337,0.002002,0.506117
12:19:47:40,-0.063411,0.003337,0.001335,0.253131
12:19:47:40,-0.060073,-0.003337,-0.001335,-0.126710
12:19:47:40,-0.046724,0.003337,0.000667,0.379642
12:19:47:40,-0.040049,0.000000,0.000000,0.126583
12:19:47:40,-0.016687,0.003337,0.000667,0.379642
12:19:47:40,-0.003337,0.000000,0.000000,0.126583
12:19:47:40,0.006675,0.000000,0.000000,0.126583
12:19:47:40,0.010012,-0.003337,-0.001335,-0.126710
12:19:47:40,0.016687,0.000000,0.000000,0.253131
12:19:47:40,0.013350,0.000000,-0.000667,-0.126710
12:19:47:40,0.016687,0.003337,0.000667,0.253131
12:19:47:40,0.013350,0.003337,0.000667,0.253131
12:19:47:40,0.013350,-0.003337,0.000667,0.000000
12:19:47:40,0.016687,0.000000,0.001335,0.253131
12:19:47:40,0.020024,-0.003337,-0.001335,-0.126710
12:19:47:40,0.030037,0.003337,0.000000,0.126583
12:19:47:40,0.040049,0.006675,0.001335,0.379642
12:19:47:40,0.040049,0.000000,-0.001335,-0.126710
12:19:47:40,0.036711,-0.006675,-0.004672,-0.760433
12:19:47:40,0.050061,0.006675,0.000667,0.379642
12:19:47:40,0.050061,0.003337,0.000667,0.379642
12:19:47:40,0.056736,0.006675,0.002670,0.632555
12:19:47:40,0.053398,0.000000,0.000667,0.126583
12:19:47:40,0.056736,0.000000,0.000000,0.126583
12:19:47:40,0.053398,-0.003337,-0.002002,-0.126710
12:19:47:40,0.063411,0.006675,0.001335,0.506117
12:19:47:40,0.060073,0.000000,-0.000667,-0.126710
12:19:47:40,0.063411,0.000000,-0.000667,0.126583
12:19:47:40,0.063411,-0.006675,-0.003337,-0.506907
12:19:47:40,0.076760,0.003337,0.000000,0.126583
12:19:47:40,0.073423,0.003337,0.000000,0.253131
12:19:47:40,0.076760,0.003337,0.000667,0.253131
12:19:47:40,0.080098,0.000000,-0.000667,0.000000
12:19:47:40,0.086772,0.006675,0.001335,0.506117
12:19:47:40,0.083435,0.000000,-0.000667,0.126583
12:19:47:40,0.086772,0.003337,0.000667,0.253131
12:19:47:40,0.080098,-0.003337,-0.003337,-0.506907
12:19:47:40,0.090110,0.003337,0.000000,0.000000
12:19:47:40,0.100122,0.003337,0.001335,0.506117
12:19:47:40,0.106797,0.006675,0.003337,0.758958
12:19:47:40,0.110134,0.003337,0.000667,0.253131
12:19:47:40,0.113472,0.006675,0.002670,0.632555
12:19:47:40,0.113472,-0.006675,-0.002670,-0.380163
12:19:47:40,0.120146,0.003337,0.000667,0.253131
12:19:47:40,0.120146,0.000000,-0.000667,0.000000
12:19:47:40,0.123484,0.000000,0.000000,0.126583
12:19:47:40,0.120146,0.000000,-0.001335,0.000000
12:19:47:40,0.133496,0.003337,0.000667,0.253131
12:19:47:40,0.136833,-0.003337,-0.002002,-0.126710
12:19:47:40,0.150183,0.006675,0.001335,0.506117
12:19:47:40,0.153521,0.000000,0.000000,0.126583
12:19:47:40,0.156858,0.006675,0.000667,0.253131
12:19:47:40,0.156858,0.000000,-0.000667,0.000000
12:19:47:40,0.160195,0.006675,0.002002,0.632555
12:19:47:40,0.146846,-0.006675,-0.002670,-0.253431
12:19:47:40,0.150183,0.000000,-0.000667,0.126583
12:19:47:40,0.143508,0.000000,0.000000,0.253131
12:19:47:40,0.143508,0.000000,-0.000667,0.126583
12:19:47:40,0.133496,-0.003337,-0.002002,-0.126710
12:19:47:40,0.140171,0.003337,0.001335,0.253131
12:19:47:40,0.140171,-0.003337,-0.000667,0.000000
12:19:47:40,0.143508,0.003337,0.001335,0.379642
12:19:47:40,0.140171,0.000000,0.000667,0.253131
12:19:47:40,0.130159,-0.003337,-0.002002,-0.253431
12:19:47:40,0.130159,-0.003337,-0.001335,-0.126710
12:19:47:40,0.123484,-0.003337,-0.003337,-0.506907
12:19:47:40,0.123484,0.003337,0.000000,0.253131
12:19:47:40,0.120146,0.003337,0.000667,0.126583
12:19:47:40,0.116809,-0.003337,-0.000667,0.000000
12:19:47:40,0.110134,0.003337,-0.000667,0.126583
12:19:47:40,0.106797,0.003337,0.002002,0.632555
12:19:47:40,0.093447,0.003337,0.001335,0.253131
12:19:47:40,0.083435,0.000000,0.000000,0.126583
12:19:47:40,0.073423,-0.006675,-0.004672,-0.633664
12:19:47:40,0.086772,-0.003337,-0.002002,-0.253431
12:19:47:40,0.086772,-0.003337,-0.002670,-0.506907
12:19:47:40,0.083435,0.000000,-0.002670,-0.253431
12:19:47:40,0.086772,-0.003337,-0.002670,-0.506907
12:19:47:40,0.090110,0.000000,0.000000,0.126583
12:19:47:40,0.076760,0.000000,0.000000,0.253131
12:19:47:40,0.070085,0.003337,0.002002,0.379642
12:19:47:40,0.053398,-0.010012,-0.005340,-0.887215
12:19:47:40,0.056736,0.000000,-0.003337,-0.253431
12:19:47:40,0.046724,0.000000,-0.001335,-0.126710
12:19:47:40,0.046724,0.013350,0.006007,1.137950
12:19:47:40,0.033374,0.003337,0.001335,0.379642
12:19:47:40,0.030037,0.003337,0.001335,0.253131
12:19:47:40,0.013350,-0.013350,-0.006007,-0.887215
12:19:47:40,0.023362,-0.003337,-0.004005,-0.506907
12:19:47:40,0.026699,0.003337,-0.000667,0.000000
12:19:47:40,0.026699,0.006675,0.004005,0.758958
12:19:47:40,0.010012,-0.010012,-0.005340,-0.887215
12:19:47:40,0.023362,0.003337,0.000667,0.253131
12:19:47:40,0.010012,-0.003337,-0.002002,-0.253431
12:19:47:40,0.013350,0.006675,0.000667,0.379642
12:19:47:40,0.010012,0.006675,0.002002,0.506117
12:19:47:40,0.013350,0.010012,0.004005,0.758958
12:19:47:40,0.003337,0.000000,0.000000,0.253131
12:19:47:40,0.010012,0.003337,0.001335,0.506117
12:19:47:40,0.003337,0.003337,0.002002,0.379642
12:19:47:40,0.000000,0.006675,0.002670,0.632555
12:19:47:40,-0.016687,0.000000,0.000667,0.126583
12:19:47:40,-0.020024,0.003337,0.002002,0.506117
12:19:47:40,-0.036711,-0.006675,-0.002002,-0.253431
12:19:47:40,-0.046724,0.006675,0.003337,0.758958
12:19:47:40,-0.070085,0.003337,0.001335,0.379642
12:19:47:40,-0.076760,0.006675,0.002670,0.506117
12:19:47:40,-0.090110,-0.003337,-0.001335,-0.126710
12:19:47:40,-0.090110,0.000000,-0.000667,0.126583
12:19:47:40,-0.090110,0.000000,0.000000,0.126583
12:19:47:40,-0.090110,0.000000,0.000000,0.253131
12:19:47:40,-0.090110,0.000000,0.000000,0.126583
12:19:47:40,-0.083435,0.003337,0.002002,0.506117
12:19:47:40,-0.093447,0.000000,0.000000,0.126583
12:19:47:40,-0.096785,0.003337,0.002002,0.506117
12:19:47:40,-0.106797,0.000000,-0.000667,0.000000
12:19:47:40,-0.110134,0.000000,0.000000,0.126583
12:19:47:40,-0.116809,0.000000,0.000000,0.126583
12:19:47:40,-0.120146,-0.003337,-0.000667,0.000000
12:19:47:40,-0.126821,-0.003337,-0.002670,-0.253431
12:19:47:40,-0.120146,0.006675,0.002670,0.632555
12:19:47:40,-0.123484,0.003337,0.000667,0.253131
12:19:47:40,-0.126821,0.000000,0.001335,0.379642
12:19:47:40,-0.130159,0.000000,0.000667,0.253131
12:19:47:40,-0.130159,0.000000,0.000000,0.126583
12:19:47:40,-0.130159,0.000000,-0.001335,0.000000
12:19:47:40,-0.136833,0.000000,0.000000,0.253131
12:19:47:40,-0.136833,0.003337,0.001335,0.379642
12:19:47:40,-0.146846,-0.003337,-0.001335,-0.253431
12:19:47:40,-0.150183,0.003337,0.000000,0.253131
12:19:47:40,-0.146846,0.003337,0.001335,0.506117
12:19:47:40,-0.150183,-0.003337,0.000000,0.126583
12:19:47:40,-0.150183,0.000000,0.000000,0.126583
12:19:47:40,-0.153521,0.003337,0.001335,0.379642
12:19:47:40,-0.150183,0.006675,0.002670,0.632555
12:19:47:40,-0.160195,0.000000,0.000000,0.253131
12:19:47:40,-0.163533,0.003337,0.000667,0.253131
12:19:47:40,-0.170208,-0.003337,-0.002002,-0.253431
12:19:47:40,-0.176882,-0.003337,-0.004672,-0.633664
12:19:47:40,-0.176882,0.003337,0.000667,0.253131
12:19:47:40,-0.183557,0.006675,0.001335,0.506117
12:19:47:40,-0.180220,0.006675,0.002002,0.506117
12:19:47:40,-0.186895,0.003337,0.000667,0.253131
12:19:47:40,-0.193569,0.000000,0.000000,0.126583
12:19:47:40,-0.196907,0.000000,-0.000667,-0.126710
12:19:47:40,-0.190232,0.003337,0.002002,0.506117
12:19:47:40,-0.200244,0.000000,0.000667,0.126583
12:19:47:40,-0.206919,0.000000,-0.000667,0.000000
12:19:47:40,-0.213594,0.000000,-0.001335,0.000000
12:19:47:40,-0.220269,0.003337,0.000667,0.379642
12:19:47:40,-0.223606,0.003337,0.001335,0.379642
12:19:47:40,-0.233618,0.003337,0.002002,0.506117
12:19:47:40,-0.236956,-0.003337,-0.000667,0.000000
12:19:47:40,-0.226943,0.003337,0.002002,0.506117
12:19:47:40,-0.233618,0.003337,0.000667,0.253131
12:19:47:40,-0.223606,0.000000,-0.001335,-0.126710
12:19:47:40,-0.223606,0.000000,-0.000667,0.126583
12:19:47:40,-0.213594,0.000000,0.000000,0.126583
12:19:47:40,-0.216931,-0.003337,-0.000667,-0.126710
12:19:47:40,-0.216931,-0.003337,-0.003337,-0.506907
12:19:47:40,-0.223606,-0.003337,-0.003337,-0.633664
12:19:47:40,-0.210256,-0.003337,-0.003337,-0.506907
12:19:47:40,-0.213594,0.000000,0.000667,0.253131
12:19:47:40,-0.206919,0.006675,0.002002,0.379642
12:19:47:40,-0.213594,0.000000,0.000000,0.126583
12:19:47:40,-0.196907,0.003337,0.001335,0.506117
12:19:47:40,-0.206919,0.000000,-0.000667,0.126583
12:19:47:40,-0.200244,-0.003337,-0.001335,-0.126710
12:19:47:40,-0.190232,-0.003337,-0.002002,-0.253431
12:19:47:40,-0.180220,0.000000,-0.000667,0.126583
12:19:47:40,-0.176882,0.006675,0.002002,0.632555
12:19:47:40,-0.163533,0.003337,0.002670,0.632555
12:19:47:40,-0.163533,-0.006675,-0.001335,-0.126710
12:19:47:40,-0.166870,-0.006675,-0.002670,-0.380163
12:19:47:40,-0.160195,0.000000,-0.000667,0.126583
12:19:47:40,-0.173545,0.000000,0.000000,0.000000
12:19:47:40,-0.166870,0.003337,0.000667,0.253131
12:19:47:40,-0.166870,0.000000,-0.001335,-0.126710
12:19:47:40,-0.160195,-0.003337,-0.002002,-0.253431
12:19:47:40,-0.156858,0.000000,-0.000667,0.126583
12:19:47:40,-0.130159,0.016687,0.007342,1.516618
12:19:47:40,-0.126821,-0.003337,0.000000,0.000000
12:19:47:40,-0.133496,0.000000,-0.000667,0.126583
12:19:47:40,-0.126821,-0.003337,-0.002002,-0.253431
12:19:47:40,-0.120146,-0.003337,-0.002002,-0.253431
12:19:47:40,-0.113472,0.000000,-0.001335,0.000000
12:19:47:40,-0.103459,0.003337,0.000000,0.253131
12:19:47:40,-0.106797,-0.003337,-0.002002,-0.253431
12:19:47:40,-0.106797,0.000000,-0.000667,0.000000
12:19:47:40,-0.096785,0.003337,0.000667,0.379642
12:19:47:40,-0.086772,0.000000,0.001335,0.379642
12:19:47:40,-0.096785,-0.003337,-0.002002,-0.126710
12:19:47:40,-0.090110,0.000000,0.000000,0.253131
12:19:47:40,-0.080098,0.000000,0.000000,0.000000
12:19:47:40,-0.080098,0.003337,0.001335,0.379642
12:19:47:40,-0.083435,0.003337,0.000000,0.253131
12:19:47:40,-0.080098,0.003337,0.000667,0.253131
12:19:47:40,-0.076760,-0.003337,-0.002002,-0.126710
12:19:47:40,-0.073423,-0.003337,-0.001335,0.000000
12:19:47:40,-0.080098,-0.006675,-0.002670,-0.506907
12:19:47:40,-0.066748,0.006675,0.001335,0.253131
12:19:47:40,-0.060073,0.000000,-0.000667,0.000000
12:19:47:40,-0.053398,-0.003337,-0.002002,-0.253431
12:19:47:40,-0.040049,0.000000,-0.002670,-0.380163
12:19:47:40,-0.016687,0.003337,0.001335,0.379642
12:19:47:40,-0.006675,0.000000,-0.001335,0.000000
12:19:47:40,0.010012,0.006675,0.000667,0.379642
12:19:47:40,0.013350,0.000000,-0.001335,0.000000
12:19:47:40,0.023362,0.006675,0.002670,0.632555
12:19:47:40,0.016687,0.003337,0.001335,0.379642
12:19:47:40,0.020024,0.006675,0.002002,0.506117
12:19:47:40,0.016687,0.000000,0.000667,0.253131
12:19:47:40,0.013350,0.000000,0.000000,0.126583
12:19:47:40,0.016687,0.003337,-0.000667,0.000000
12:19:47:40,0.023362,0.003337,0.000667,0.253131
12:19:47:40,0.030037,0.003337,0.000667,0.253131
12:19:47:40,0.040049,0.003337,0.000667,0.253131
12:19:47:40,0.040049,-0.003337,-0.000667,0.126583
12:19:47:40,0.043386,0.000000,-0.000667,-0.126710
12:19:47:40,0.046724,0.000000,-0.001335,-0.126710
12:19:47:40,0.050061,0.000000,0.000000,0.253131
12:19:47:40,0.053398,0.003337,0.002002,0.506117
12:19:47:40,0.053398,0.000000,0.000667,0.253131
12:19:47:40,0.050061,0.000000,-0.000667,0.000000
12:19:47:40,0.056736,0.000000,-0.000667,0.126583
12:19:47:40,0.056736,0.003337,0.000000,0.126583
12:19:47:40,0.063411,0.000000,-0.000667,-0.126710
12:19:47:40,0.063411,0.000000,-0.001335,-0.126710
12:19:47:40,0.066748,-0.003337,-0.001335,-0.253431
12:19:47:40,0.073423,0.003337,0.000667,0.126583
12:19:47:40,0.080098,0.003337,0.002670,0.758958
12:19:47:40,0.066748,-0.010012,-0.004005,-0.633664
12:19:47:40,0.073423,-0.006675,-0.004005,-0.506907
12:19:47:40,0.083435,0.003337,0.000000,0.126583
12:19:47:40,0.080098,0.000000,-0.000667,0.000000
12:19:47:40,0.086772,0.003337,0.000667,0.379642
12:19:47:40,0.086772,0.000000,-0.000667,0.126583
12:19:47:40,0.090110,0.003337,0.002002,0.379642
12:19:47:40,0.086772,-0.003337,-0.002002,-0.253431
12:19:47:40,0.100122,0.000000,0.000000,0.126583
12:19:47:40,0.100122,-0.006675,-0.002670,-0.380163
12:19:47:40,0.113472,0.000000,-0.001335,0.000000
12:19:47:40,0.106797,-0.006675,-0.004672,-0.633664
12:19:47:40,0.116809,0.000000,-0.001335,-0.126710
12:19:47:40,0.116809,-0.003337,-0.003337,-0.506907
12:19:47:40,0.123484,0.006675,0.001335,0.253131
12:19:47:40,0.126821,0.003337,0.000667,0.253131
12:19:47:40,0.126821,0.000000,-0.001335,-0.126710
12:19:47:40,0.130159,-0.010012,-0.006007,-0.887215
12:19:47:40,0.150183,0.006675,0.000667,0.253131
12:19:47:40,0.150183,0.000000,-0.001335,0.000000
12:19:47:40,0.163533,0.003337,0.001335,0.379642
12:19:47:40,0.153521,-0.003337,-0.001335,-0.126710
12:19:47:40,0.156858,0.003337,0.001335,0.379642
12:19:47:40,0.156858,0.003337,0.000667,0.253131
12:19:47:40,0.150183,0.010012,0.004005,0.885325
12:19:47:40,0.140171,-0.006675,-0.003337,-0.380163
12:19:47:40,0.140171,0.000000,0.000667,0.253131
12:19:47:40,0.133496,-0.006675,-0.003337,-0.506907
12:19:47:40,0.146846,0.010012,0.001335,0.506117
12:19:47:40,0.146846,0.003337,0.000667,0.253131
12:19:47:40,0.153521,0.013350,0.006007,1.390431
12:19:47:40,0.146846,0.006675,0.004005,0.885325
12:19:47:40,0.146846,0.013350,0.005340,1.264208
12:19:47:40,0.130159,-0.003337,-0.001335,0.000000
12:19:47:40,0.130159,0.003337,0.000667,0.253131
12:19:47:40,0.126821,0.000000,0.000000,0.126583
